Date       Time     Site  Ant    Freq Code Power   
2016-03-20 00:29:10    7    1 149.720    3  -104
2016-03-20 00:29:11    7    1 149.740    9   -86
2016-03-20 00:29:12    7    1 149.760   13   -89
2016-03-20 00:29:12    7    1 149.340   20   -62
2016-03-20 00:29:14    7    1 149.740    9   -80
2016-03-20 00:29:16    7    1 149.720    3  -105
2016-03-20 00:29:17    7    1 149.340   20   -64
2016-03-20 00:29:17    7    1 149.800   20   -98
2016-03-20 00:29:17    7    1 149.740    9   -86
2016-03-20 00:29:18    7    1 149.740   13   -83
2016-03-20 00:29:19    7    1 149.760   14   -89
2016-03-20 00:29:20    7    1 149.740    9   -85
2016-03-20 00:29:22    7    1 149.760   13   -89
2016-03-20 00:29:22    7    1 149.340   20   -66
2016-03-20 00:29:22    7    1 149.720    3  -106
2016-03-20 00:29:23    7    1 149.740    9   -78
2016-03-20 00:29:26    7    1 149.740    9   -82
2016-03-20 00:29:27    7    1 149.340   20   -68
2016-03-20 00:29:27    7    1 149.800   20   -98
2016-03-20 00:29:28    7    1 149.720    3  -101
2016-03-20 00:29:29    7    1 149.740   13   -83
2016-03-20 00:29:29    7    1 149.760   14   -89
2016-03-20 00:29:30    7    1 149.740    9   -83
2016-03-20 00:29:31    7    1 149.720    3  -104
2016-03-20 00:29:32    7    1 149.760   13   -89
2016-03-20 00:29:32    7    1 149.340   20   -68
2016-03-20 00:29:33    7    1 149.740    9   -83
2016-03-20 00:29:36    7    1 149.740    9   -81
2016-03-20 00:29:37    7    1 149.720    3  -109
2016-03-20 00:29:37    7    1 149.340   20   -68
2016-03-20 00:29:37    7    1 149.800   20   -98
2016-03-20 00:29:39    7    1 149.740   13   -83
2016-03-20 00:29:39    7    1 149.740    9   -81
2016-03-20 00:29:39    7    1 149.760   14   -89
2016-03-20 00:29:40    7    1 149.720    3  -108
2016-03-20 00:29:42    7    1 149.760   13   -89
2016-03-20 00:29:42    7    1 149.740    9   -86
2016-03-20 00:29:42    7    1 149.340   20   -68
2016-03-20 00:29:45    7    1 149.740    9   -83
2016-03-20 00:29:46    7    1 149.720    3  -105
2016-03-20 00:29:47    7    1 149.800   20   -98
2016-03-20 00:29:47    7    1 149.340   20   -68
2016-03-20 00:29:48    7    1 149.740    9   -83
2016-03-20 00:29:49    7    1 149.740   13   -83
2016-03-20 00:29:49    7    1 149.720    3  -107
2016-03-20 00:29:49    7    1 149.760   14   -89
2016-03-20 00:29:51    7    1 149.740    9   -87
2016-03-20 00:29:52    7    1 149.760   13   -89
2016-03-20 00:29:53    7    1 149.340   20   -69
2016-03-20 00:29:54    7    1 149.740    9   -86
2016-03-20 00:29:57    7    1 149.800   20   -98
2016-03-20 00:29:57    7    1 149.740    9   -87
2016-03-20 00:29:58    7    1 149.340   20   -69
2016-03-20 00:29:59    7    1 149.740   13   -83
2016-03-20 00:29:59    7    1 149.340   67  -111
2016-03-20 00:29:59    7    1 149.720    8  -112
2016-03-20 00:29:59    7    1 149.760   14   -89
2016-03-20 00:30:01    7    1 149.740    9   -87
2016-03-20 00:30:01    7    1 149.720    3  -101
2016-03-20 00:30:02    7    1 149.760   13   -89
2016-03-20 00:30:02    7    1 149.720    2  -106
2016-03-20 00:30:03    7    1 149.340   20   -69
2016-03-20 00:30:04    7    1 149.740    9   -80
2016-03-20 00:30:04    7    1 149.720    3  -104
2016-03-20 00:30:07    7    1 149.740    9   -85
2016-03-20 00:30:07    7    1 149.720    3  -108
2016-03-20 00:30:08    7    1 149.800   20   -99
2016-03-20 00:30:08    7    1 149.340   20   -68
2016-03-20 00:30:09    7    1 149.740   13   -83
